key,name,role,health,armor,shields
ana,Ana,support,200,0,0
ashe,Ashe,damage,200,0,0
baptiste,Baptiste,support,200,0,0
bastion,Bastion,damage,200,100,0
brigitte,Brigitte,support,150,50,0
cassidy,Cassidy,damage,225,0,0
dva,D.Va,tank,350,300,0
doomfist,Doomfist,tank,450,0,0
echo,Echo,damage,200,0,0
genji,Genji,damage,200,0,0
hanzo,Hanzo,damage,200,0,0
illari,Illari,support,200,0,0
junker-queen,Junker Queen,tank,450,0,0
junkrat,Junkrat,damage,200,0,0
kiriko,Kiriko,support,200,0,0
lifeweaver,Lifeweaver,support,175,0,50
lucio,Lúcio,support,200,0,0
mei,Mei,damage,250,0,0
mercy,Mercy,support,200,0,0
moira,Moira,support,200,0,0
orisa,Orisa,tank,275,275,0
pharah,Pharah,damage,200,0,0
ramattra,Ramattra,tank,450,0,0
reaper,Reaper,damage,250,0,0
reinhardt,Reinhardt,tank,350,250,0
roadhog,Roadhog,tank,700,0,0
sigma,Sigma,tank,350,0,200
sojourn,Sojourn,damage,200,0,0
soldier-76,Soldier: 76,damage,200,0,0
sombra,Sombra,damage,200,0,0
symmetra,Symmetra,damage,100,0,125
torbjorn,Torbjörn,damage,200,50,0
tracer,Tracer,damage,150,0,0
widowmaker,Widowmaker,damage,175,0,0
winston,Winston,tank,350,200,0
wrecking-ball,Wrecking Ball,tank,450,100,150
zarya,Zarya,tank,250,0,225
zenyatta,Zenyatta,support,50,0,150
